Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.8611,0.87,0.0783,0.0507,0.0576,0.093,0.0717,0.0734,0.11
ANN2,7,0.8685,0.871,0.3622,0.0526,0.0586,0.0715,0.0698,0.0731,0.0915
ANN3,201,0.8753,0.8767,0.6068,0.0501,0.054,0.0617,0.068,0.0715,0.0719
ANN4,202,0.8886,0.8904,0.685,0.0501,0.0507,0.0562,0.0642,0.0674,0.0643
ANN5,203,0.8975,0.8872,0.8036,0.0475,0.0525,0.0396,0.0616,0.0684,0.0508
ANN6,204,0.9105,0.9019,0.8428,0.0467,0.0481,0.0394,0.0576,0.0638,0.0454
ANN7,207,0.8727,0.874,0.3646,0.0529,0.0578,0.0711,0.0687,0.0723,0.0914
ANN8,307,0.8996,0.8903,0.8345,0.0471,0.0522,0.0357,0.061,0.0674,0.0466
ANN9,10,0.8693,0.8767,0.3827,0.0527,0.0567,0.0708,0.0696,0.0715,0.0901
ANN10,70,0.8743,0.8697,0.365,0.0521,0.0587,0.0711,0.0683,0.0735,0.0913
ANN11,2010,0.8833,0.8861,0.6462,0.0509,0.0523,0.0609,0.0658,0.0687,0.0682
ANN12,2020,0.872,0.867,0.3952,0.0525,0.059,0.0701,0.0689,0.0743,0.0891
ANN13,2030,0.8731,0.8747,0.367,0.0526,0.0573,0.0706,0.0686,0.072,0.0912
ANN14,2040,0.8972,0.898,0.5937,0.0467,0.0491,0.0548,0.0617,0.065,0.0731
ANN15,2070,0.9004,0.898,0.6794,0.0488,0.0488,0.0559,0.0608,0.065,0.0649
ANN16,3070,0.9072,0.9056,0.8359,0.0467,0.0476,0.0376,0.0586,0.0625,0.0464
ANN-AVG,-,0.8844,0.8836,0.5527,0.05,0.0538,0.06,0.0653,0.0694,0.0741
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
