Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.8808,0.8667,0.534,1.3617,1.6673,1.9822,1.8789,2.335,2.1766
ANN2,31,0.8685,0.8655,0.4645,1.3796,1.6799,2.1419,1.9739,2.3459,2.3334
ANN3,32,0.8941,0.869,0.5534,1.3492,1.6919,1.9348,1.7716,2.3152,2.1309
ANN4,33,0.8439,0.8214,0.2184,1.5894,1.9487,2.424,2.1505,2.7032,2.8191
ANN5,51,0.894,0.8694,0.8717,1.3344,1.6783,0.9671,1.7724,2.3116,1.142
ANN6,70,0.8977,0.8729,0.5714,1.3691,1.7127,1.8556,1.7409,2.2804,2.0874
ANN7,90,0.8831,0.8693,0.4873,1.3493,1.6632,2.086,1.8611,2.3121,2.2832
ANN8,99,0.8755,0.8643,0.4367,1.3923,1.6471,2.1965,1.9203,2.356,2.3932
ANN9,300,0.8324,0.8214,0.2874,1.6037,1.9244,2.3588,2.2285,2.703,2.6918
ANN10,310,0.8975,0.8717,0.5728,1.3561,1.6979,1.8694,1.7429,2.2911,2.0842
ANN11,320,0.8712,0.8708,0.4083,1.3586,1.6487,2.2412,1.9535,2.2993,2.4528
ANN12,330,0.8986,0.8734,0.5559,1.3659,1.7163,1.8982,1.7329,2.2758,2.1249
ANN13,510,0.8913,0.8761,0.9089,1.3232,1.6399,0.7669,1.7941,2.2517,0.9626
ANN14,700,0.8624,0.8609,0.4802,1.4284,1.7201,2.1182,2.0188,2.3852,2.299
ANN15,900,0.8533,0.8386,-0.0981,1.5087,1.8351,3.0411,2.0849,2.5693,3.3415
ANN16,990,0.9057,0.8728,0.8568,1.2964,1.6788,1.0799,1.6717,2.2811,1.2065
ANN-AVG,-,0.8781,0.8615,0.5069,1.3979,1.7219,1.9351,1.8936,2.376,2.1581
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
