Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.8875,0.8854,0.7233,0.0495,0.0531,0.0506,0.0646,0.0689,0.0603
ANN2,7,0.8963,0.8894,0.6585,0.0485,0.0521,0.0565,0.062,0.0677,0.067
ANN3,201,0.9178,0.9143,0.7377,0.0414,0.0468,0.0455,0.0552,0.0596,0.0587
ANN4,202,0.9367,0.923,0.8136,0.0391,0.0444,0.0389,0.0484,0.0565,0.0495
ANN5,203,0.9343,0.9226,0.8596,0.0402,0.0447,0.0361,0.0493,0.0566,0.0429
ANN6,204,0.9156,0.9139,0.7192,0.0431,0.0482,0.0464,0.0559,0.0597,0.0607
ANN7,207,0.887,0.883,0.6316,0.0508,0.0545,0.0567,0.0647,0.0696,0.0696
ANN8,307,0.9188,0.9136,0.8228,0.0447,0.0468,0.0391,0.0549,0.0598,0.0482
ANN9,10,0.891,0.8891,0.634,0.049,0.053,0.058,0.0636,0.0678,0.0693
ANN10,70,0.916,0.9105,0.7714,0.0429,0.0487,0.0414,0.0558,0.0609,0.0548
ANN11,2010,0.9011,0.894,0.8595,0.046,0.0503,0.0328,0.0605,0.0663,0.043
ANN12,2020,0.9225,0.911,0.8051,0.043,0.0484,0.0388,0.0536,0.0607,0.0506
ANN13,2030,0.9002,0.8952,0.779,0.0465,0.0499,0.0464,0.0608,0.0659,0.0539
ANN14,2040,0.917,0.908,0.8201,0.0449,0.0474,0.0391,0.0555,0.0618,0.0486
ANN15,2070,0.9057,0.8995,0.8764,0.0452,0.0513,0.0333,0.0591,0.0645,0.0403
ANN16,3070,0.9215,0.9218,0.7674,0.0409,0.0456,0.0439,0.0539,0.0569,0.0553
ANN-AVG,-,0.9106,0.9047,0.7674,0.0447,0.0491,0.044,0.0574,0.0627,0.0546
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
