Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.9073,0.8842,0.4804,1.2796,1.6342,1.9844,1.6572,2.1764,2.2986
ANN2,31,0.9036,0.8757,0.6222,1.3044,1.672,1.76,1.6899,2.255,1.96
ANN3,32,0.9026,0.8808,0.4169,1.2391,1.5849,2.1779,1.699,2.2085,2.4348
ANN4,33,0.9326,0.8979,0.695,1.0945,1.5136,1.4611,1.4132,2.0439,1.7609
ANN5,51,0.904,0.8786,0.8005,1.2786,1.64,1.2105,1.6862,2.2286,1.4243
ANN6,70,0.9073,0.8786,0.8093,1.2669,1.6587,1.1902,1.6569,2.229,1.3924
ANN7,90,0.9183,0.8858,0.7433,1.1947,1.5619,1.327,1.5555,2.1614,1.6155
ANN8,99,0.9106,0.8824,0.4202,1.2457,1.6379,2.1795,1.6275,2.1937,2.4279
ANN9,300,0.8938,0.8819,0.7263,1.334,1.6038,1.4425,1.7734,2.1981,1.6682
ANN10,310,0.9247,0.9002,0.8406,1.1762,1.4549,0.928,1.4933,2.0203,1.2729
ANN11,320,0.9072,0.8761,0.3877,1.2563,1.6748,2.2107,1.6581,2.2517,2.4951
ANN12,330,0.9052,0.862,0.2095,1.3031,1.7153,2.5302,1.676,2.3761,2.8351
ANN13,510,0.9003,0.8832,0.5306,1.3085,1.6339,1.8561,1.7185,2.1862,2.1847
ANN14,700,0.9233,0.8933,0.8208,1.2006,1.5307,1.1355,1.5077,2.089,1.3497
ANN15,900,0.9172,0.8948,0.0855,1.1909,1.5534,2.4789,1.5657,2.0745,3.0493
ANN16,990,0.906,0.8782,0.8284,1.2729,1.6266,1.206,1.6685,2.232,1.3209
ANN-AVG,-,0.9103,0.8834,0.5886,1.2466,1.606,1.6924,1.6279,2.1828,1.9681
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
