Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.9318,0.9207,0.7356,0.04,0.0462,0.0467,0.0503,0.0573,0.0589
ANN2,7,0.9278,0.9196,0.6791,0.039,0.0456,0.0498,0.0517,0.0577,0.0649
ANN3,201,0.9188,0.9131,0.448,0.0418,0.0472,0.0719,0.0549,0.06,0.0852
ANN4,202,0.9069,0.8897,0.758,0.0453,0.0533,0.0477,0.0587,0.0676,0.0564
ANN5,203,0.9163,0.9091,0.7983,0.0428,0.0469,0.0433,0.0557,0.0614,0.0515
ANN6,204,0.9159,0.9091,0.7976,0.0433,0.0463,0.0451,0.0558,0.0614,0.0516
ANN7,207,0.9072,0.899,0.6844,0.0454,0.0514,0.0534,0.0587,0.0647,0.0644
ANN8,307,0.91,0.8933,0.6806,0.044,0.0513,0.0542,0.0578,0.0665,0.0648
ANN9,10,0.9345,0.9245,0.8732,0.0381,0.0449,0.0351,0.0493,0.0559,0.0408
ANN10,70,0.9135,0.9044,0.783,0.0449,0.0475,0.0481,0.0566,0.063,0.0534
ANN11,2010,0.8965,0.8934,0.7095,0.0479,0.0523,0.0533,0.0619,0.0665,0.0618
ANN12,2020,0.9287,0.9166,0.8422,0.0399,0.0483,0.0379,0.0514,0.0588,0.0455
ANN13,2030,0.9145,0.9086,0.7928,0.0438,0.0494,0.0411,0.0563,0.0615,0.0522
ANN14,2040,0.9204,0.9116,0.8053,0.0419,0.048,0.0452,0.0543,0.0605,0.0506
ANN15,2070,0.9222,0.9155,0.8131,0.0416,0.0477,0.0366,0.0537,0.0592,0.0496
ANN16,3070,0.9363,0.9154,0.7955,0.0389,0.0457,0.0413,0.0486,0.0592,0.0518
ANN-AVG,-,0.9188,0.909,0.7498,0.0424,0.0482,0.0469,0.0547,0.0613,0.0565
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
