Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.9455,0.9068,-0.1174,1.0151,1.4656,2.823,1.2711,1.9524,3.3706
ANN2,31,0.95,0.9096,0.6817,0.9908,1.4083,1.2984,1.2165,1.9234,1.7989
ANN3,32,0.9393,0.9054,0.1579,1.0694,1.4437,2.5232,1.3408,1.9677,2.9262
ANN4,33,0.9254,0.8923,0.717,1.2078,1.5676,1.3812,1.4861,2.0995,1.6962
ANN5,51,0.9259,0.9024,0.6216,1.1879,1.5256,1.7026,1.4813,1.9978,1.9615
ANN6,70,0.936,0.896,0.6471,1.1063,1.519,1.5751,1.3772,2.0626,1.8941
ANN7,90,0.9524,0.9007,0.562,0.9664,1.3844,1.7547,1.1878,2.0156,2.1103
ANN8,99,0.9419,0.9023,0.5885,1.0785,1.4674,1.6093,1.312,1.999,2.0456
ANN9,300,0.9298,0.883,0.5188,1.1811,1.6521,1.9342,1.4419,2.188,2.212
ANN10,310,0.9394,0.8919,0.5865,1.0687,1.5526,1.8227,1.3403,2.1028,2.0504
ANN11,320,0.9452,0.9045,0.2708,1.0383,1.3979,2.2363,1.2738,1.977,2.7228
ANN12,330,0.9248,0.8962,0.655,1.2078,1.5613,1.6215,1.4922,2.0607,1.873
ANN13,510,0.9406,0.9045,0.6314,1.0748,1.4343,1.4517,1.3265,1.9762,1.9359
ANN14,700,0.914,0.8887,0.2612,1.2312,1.5839,2.3927,1.5962,2.1337,2.7408
ANN15,900,0.9277,0.8964,0.7466,1.1546,1.5522,1.3158,1.4637,2.0591,1.6052
ANN16,990,0.9313,0.8973,0.7166,1.1256,1.4932,1.297,1.4265,2.0494,1.6975
ANN-AVG,-,0.9356,0.8986,0.5153,1.1065,1.5006,1.7962,1.3771,2.0353,2.1651
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
