Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.9403,0.8995,0.072,1.0832,1.4966,2.6184,1.33,2.0273,3.0718
ANN2,31,0.9297,0.9029,0.7184,1.1275,1.4512,1.2936,1.4434,1.9935,1.692
ANN3,32,0.944,0.8995,0.7145,1.0607,1.4647,1.2573,1.2884,2.0277,1.7038
ANN4,33,0.9314,0.8953,0.7535,1.1511,1.5268,1.1761,1.4256,2.07,1.583
ANN5,51,0.9345,0.9032,0.5729,1.1131,1.4571,1.8107,1.3932,1.9902,2.084
ANN6,70,0.9287,0.9126,0.5685,1.166,1.4414,1.7043,1.4532,1.891,2.0945
ANN7,90,0.9235,0.8939,0.0787,1.1501,1.5657,2.6004,1.505,2.0836,3.0606
ANN8,99,0.9199,0.8811,0.7096,1.2329,1.5953,1.4307,1.5407,2.2054,1.7185
ANN9,300,0.9407,0.906,0.5163,1.088,1.4492,1.8683,1.325,1.9613,2.2177
ANN10,310,0.9288,0.8867,0.0005,1.1658,1.6017,2.654,1.4522,2.1526,3.1879
ANN11,320,0.9385,0.9034,0.8083,1.0794,1.4445,1.0495,1.3492,1.988,1.3963
ANN12,330,0.9381,0.8843,0.4961,1.0985,1.5402,1.7339,1.3545,2.1758,2.2635
ANN13,510,0.9263,0.8932,0.6356,1.1731,1.5232,1.4813,1.4775,2.0907,1.9249
ANN14,700,0.9303,0.9015,0.6208,1.1048,1.4864,1.7396,1.4366,2.0072,1.9636
ANN15,900,0.9286,0.891,0.7973,1.1392,1.5554,1.051,1.4543,2.1122,1.4355
ANN16,990,0.9418,0.8999,0.1971,1.05,1.5194,2.4142,1.3133,2.0241,2.8571
ANN-AVG,-,0.9328,0.8971,0.5163,1.124,1.5074,1.7427,1.4089,2.05,2.1409
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
