Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.938,0.9226,0.8828,0.0383,0.0454,0.0325,0.0479,0.0566,0.0392
ANN2,7,0.896,0.8935,0.7914,0.0477,0.0511,0.0453,0.0621,0.0664,0.0524
ANN3,201,0.9283,0.9161,0.7153,0.0399,0.0455,0.0504,0.0515,0.0589,0.0612
ANN4,202,0.9214,0.915,0.7239,0.0409,0.0446,0.0516,0.054,0.0594,0.0602
ANN5,203,0.9325,0.9103,0.7205,0.0394,0.047,0.0487,0.05,0.061,0.0606
ANN6,204,0.9353,0.92,0.4965,0.0376,0.0452,0.0598,0.049,0.0576,0.0813
ANN7,207,0.9331,0.9226,0.697,0.039,0.0455,0.0533,0.0498,0.0566,0.0631
ANN8,307,0.9303,0.9141,0.6724,0.04,0.0463,0.0551,0.0508,0.0597,0.0656
ANN9,10,0.9348,0.9239,0.8497,0.0389,0.0431,0.0368,0.0492,0.0561,0.0444
ANN10,70,0.92,0.9086,0.7027,0.0423,0.048,0.0541,0.0545,0.0615,0.0625
ANN11,2010,0.9311,0.9168,0.7273,0.0387,0.0464,0.0501,0.0505,0.0587,0.0599
ANN12,2020,0.9325,0.9135,0.4393,0.0381,0.0467,0.0649,0.05,0.0599,0.0858
ANN13,2030,0.9253,0.9128,0.7429,0.0404,0.0478,0.0462,0.0526,0.0601,0.0581
ANN14,2040,0.935,0.9237,0.844,0.0383,0.0444,0.0381,0.0491,0.0562,0.0453
ANN15,2070,0.9205,0.9144,0.5567,0.0405,0.0471,0.0611,0.0543,0.0596,0.0763
ANN16,3070,0.8953,0.8902,0.7035,0.0486,0.0528,0.054,0.0623,0.0675,0.0624
ANN-AVG,-,0.9256,0.9136,0.7041,0.0405,0.0467,0.0501,0.0524,0.0597,0.0611
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
