Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,1,0.9242,0.9144,0.6326,0.04,0.0477,0.0539,0.053,0.0595,0.0695
ANN2,7,0.9144,0.9027,0.7527,0.0446,0.05,0.045,0.0563,0.0635,0.057
ANN3,201,0.9017,0.8936,0.7944,0.0468,0.0521,0.044,0.0604,0.0664,0.052
ANN4,202,0.9017,0.8904,0.7608,0.0472,0.0528,0.0477,0.0604,0.0674,0.0561
ANN5,203,0.9079,0.8923,0.7691,0.0449,0.0528,0.0446,0.0584,0.0668,0.0551
ANN6,204,0.9016,0.9009,0.7325,0.0473,0.0497,0.0514,0.0604,0.0641,0.0593
ANN7,207,0.9201,0.9141,0.8205,0.0433,0.0458,0.0431,0.0544,0.0597,0.0486
ANN8,307,0.9251,0.9199,0.6846,0.0405,0.0464,0.0449,0.0527,0.0576,0.0644
ANN9,10,0.9124,0.8981,0.6182,0.045,0.0493,0.0612,0.057,0.065,0.0708
ANN10,70,0.9009,0.8951,0.6164,0.0468,0.0508,0.0606,0.0606,0.0659,0.071
ANN11,2010,0.9326,0.9086,0.5858,0.0391,0.0469,0.0609,0.05,0.0616,0.0738
ANN12,2020,0.9068,0.8995,0.5685,0.0458,0.0495,0.0634,0.0588,0.0645,0.0753
ANN13,2030,0.9142,0.9107,0.6596,0.0428,0.0473,0.0569,0.0564,0.0608,0.0669
ANN14,2040,0.9004,0.8973,0.7858,0.0464,0.0513,0.0439,0.0608,0.0652,0.053
ANN15,2070,0.941,0.936,0.712,0.0375,0.0411,0.0504,0.0468,0.0515,0.0615
ANN16,3070,0.9272,0.9179,0.8105,0.0418,0.0457,0.0418,0.052,0.0583,0.0499
ANN-AVG,-,0.9145,0.9057,0.7065,0.0437,0.0487,0.0509,0.0561,0.0624,0.0615
MEP,-,0.872,0.858,0.7939,0.05,0.057,0.0485,0.069,0.077,0.0555
GPR,-,0.93,0.94,0.8707,0.0398,0.0395,0.0394,0.0509,0.051,0.0507
