Model,Seed,Train R^2,Val R^2,Test R^2,Train MAE,Val MAE,Test MAE,Train RMSE,Val RMSE,Test RMSE
ANN1,30,0.9405,0.9081,0.7319,1.0931,1.4023,1.3131,1.3274,1.9391,1.651
ANN2,31,0.9168,0.8914,0.7989,1.2438,1.5849,1.1694,1.5698,2.1076,1.4301
ANN3,32,0.918,0.8904,0.8016,1.1955,1.5585,1.1264,1.5584,2.1175,1.4203
ANN4,33,0.923,0.8927,0.7099,1.1873,1.5444,1.4301,1.5104,2.0951,1.7175
ANN5,51,0.9103,0.8932,0.767,1.2539,1.5665,1.2346,1.6303,2.0907,1.539
ANN6,70,0.918,0.8926,0.7596,1.2188,1.5461,1.2883,1.5586,2.0967,1.5634
ANN7,90,0.9257,0.8996,0.7721,1.1421,1.5031,1.2268,1.4836,2.0269,1.5222
ANN8,99,0.9259,0.8927,0.8173,1.1988,1.5326,0.9927,1.4812,2.0953,1.3629
ANN9,300,0.9264,0.9016,0.5464,1.1597,1.4875,1.726,1.4767,2.0061,2.1476
ANN10,310,0.9269,0.9074,0.6706,1.1261,1.4524,1.4649,1.4718,1.9467,1.8302
ANN11,320,0.9052,0.8892,0.6797,1.2488,1.5511,1.5978,1.6759,2.1289,1.8046
ANN12,330,0.9245,0.8848,0.154,1.2004,1.6252,2.5782,1.4955,2.1713,2.9328
ANN13,510,0.9326,0.8945,0.6353,1.1079,1.5491,1.5802,1.4131,2.0775,1.9257
ANN14,700,0.9093,0.8891,0.5813,1.2482,1.5719,1.6139,1.6393,2.1303,2.0633
ANN15,900,0.9164,0.8878,0.1684,1.2487,1.611,2.5069,1.5737,2.1422,2.9078
ANN16,990,0.921,0.8955,0.6572,1.2108,1.5331,1.6149,1.5299,2.0679,1.8669
ANN-AVG,-,0.9213,0.8944,0.6407,1.1927,1.5387,1.529,1.5247,2.0775,1.8553
MEP,-,0.916,0.923,0.7086,1.206,1.383,1.6108,1.574,1.78,2.1676
GPR,-,0.91,0.93,0.8132,1.3802,1.1439,1.2048,1.804,1.5816,1.6146
